"Planet","Grid","CurrentSector","Reason","SuggestedWookieepediaTitle","GridCategoryUrl"
"Shulxi","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Shulxi","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Shumogi","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Shumogi","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Sif-Uwana","K8","Aphran Sector","Matching Wookieepedia page has no usable sector field.","Sif-Uwana","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-8"
"Silken","O20","Silken Sector","Matching Wookieepedia page has no usable sector field.","Silken system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-20"
"Simpla","P5","Kalamith","No matching page title in the Wookieepedia grid category.","Simpla","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-5"
"Sionia","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Sionia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Skako","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Skako","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Sleheyron","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Sleheyron","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Smarteel","U14","Shola Sector","Matching Wookieepedia page has no usable sector field.","Smarteel","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-14"
"Sochi","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Sochi","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Soullex","P3","Corva","Matching Wookieepedia page has no usable sector field.","Soullex","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-3"
"Spirana","N13","Chardaan Sector","Matching Wookieepedia page has no usable sector field.","Spirana","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-13"
"Stassia","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Stassia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Steelious","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Steelious","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Stygeon Prime","Q7","Nuiri","No matching page title in the Wookieepedia grid category.","Stygeon Prime","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-7"
"Sukkult","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Sukkult","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Taanab","O8","Alpheridies Sector","Matching Wookieepedia page has no usable sector field.","Taanab","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-8"
"Tal Nami","R9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Tal Nami","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-9"
"Tala","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Tala system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Talravin","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Talravin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Tamban","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Tamban","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Tanjay","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Tanjay system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Tar Mordren","K16","Vensensor","No matching page title in the Wookieepedia grid category.","Tar Mordren","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-16"
"Targon","U7","Atollon Sector","No matching page title in the Wookieepedia grid category.","Targon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-7"
"Tasariq","J14","Jandur Sector","Matching Wookieepedia page has no usable sector field.","Tasariq","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-14"
"Taspir III","J4","Dynali","No matching page title in the Wookieepedia grid category.","Taspir III","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-4"
"Telti","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Telti/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Teyr Vulvarch","L13","Andara Sector","No matching page title in the Wookieepedia grid category.","Teyr Vulvarch","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"The Godsheart","T11","Hutt Space","Matching Wookieepedia page has no usable sector field.","The Godsheart","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-11"
"The Red Twins","I7","Freestanding Subsectors","Matching Wookieepedia page has no usable sector field.","The Red Twins/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-7"
"Thebeon","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Thebeon system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Thoadeye","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Thoadeye system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Thokos","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Thokos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Thomork","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Thomork","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Thorgeld","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Thorgeld system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Thracior","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Thracior","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Tisht","T11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Tisht","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-11"
"Tol Amn","R11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Tol Amn","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-11"
"Tomo-Reth","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Tomo-Reth","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Tovarskl","J4","Bextar Sector","Matching Wookieepedia page has no usable sector field.","Tovarskl","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-4"
"Toydaria","R11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Toydaria","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-11"
"Transel","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Transel","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Trantor","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Trantor","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Trellen","M11","Baraboo Sector","No matching page title in the Wookieepedia grid category.","Trellen","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Trevura","K14","Dulin Sector","Matching Wookieepedia page has no usable sector field.","Trevura","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-14"
"Troiken","S4","Colundra","No matching page title in the Wookieepedia grid category.","Troiken","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-4"
"Trunska","J13","Bardotta Sector","Matching Wookieepedia page has no usable sector field.","Trunska","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-13"
"Truuine","O11","Belasco Sector","Matching Wookieepedia page has no usable sector field.","Truuine","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-11"
"Tsoss Beacon","L11","Eclipse Sector","Matching Wookieepedia page has no usable sector field.","Tsoss Beacon/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-11"
"Tsyk","T13","Hutt Space","Matching Wookieepedia page has no usable sector field.","Tsyk","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-13"
"Twith","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Twith","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Tyed Kant","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Tyed Kant","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Ukatis","L15","Borkyne Sector","Matching Wookieepedia page has no usable sector field.","Ukatis","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-15"
"Ulmatra","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Ulmatra","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Uphrades","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Uphrades","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Uquine","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Uquine","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Usk","T10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Usk system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-10"
"Utegetu Nebula","I8","Freestanding Subsectors","Matching Wookieepedia page has no usable sector field.","Utegetu Nebula","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-8"
"Vaklin","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Vaklin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Vanik","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Vanik","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Vanjervalis","N11","Cato Neimoidia Sector","Matching Wookieepedia page has no usable sector field.","Vanjervalis system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-11"
"Varvrona","K3","Obtrexta","No matching page title in the Wookieepedia grid category.","Varvrona","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-3"
"Vaykaaris","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Vaykaaris system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Velabri","S18","Lamaredd Sector","Matching Wookieepedia page has no usable sector field.","Velabri","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-18"
"Velusia","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Velusia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Venjagga","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Venjagga system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Vergesso","P18","Bajic","No matching page title in the Wookieepedia grid category.","Vergesso","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-18"
"Vindalia","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Vindalia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Virujansi","O10","Ambria Sector","Matching Wookieepedia page has no usable sector field.","Virujansi","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-10"
"Voktunma","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Voktunma","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Voltare","K8","Aphran Sector","Matching Wookieepedia page has no usable sector field.","Voltare","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-8"
"Vorsia","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Vorsia system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Vulpter","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Vulpter","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Vultar","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Vultar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Vuma","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Vuma/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Wakeelmui","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Wakeelmui","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Whelori","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Whelori system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Wroona","L15","Borkyne Sector","Matching Wookieepedia page has no usable sector field.","Wroona","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-15"
"Wukkar","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Wukkar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Xeron","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Xeron","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Xerton","J3","Dolis Sector","Matching Wookieepedia page has no usable sector field.","Xerton system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-3"
"Xobome","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Xobome","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Xolu","S13","Hutt Space","Matching Wookieepedia page has no usable sector field.","Xolu","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-13"
"Xorth","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Xorth","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Yabol Opa","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Yabol Opa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Yag'Dhul","L14","Givin Domain","Matching Wookieepedia page has no usable sector field.","Yag'Dhul","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Yalara","I21","Yalara Sector","Matching Wookieepedia page has no usable sector field.","Yalara","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-21"
"Ylesia","T12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Ylesia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-12"
"Yn","K14","Dulin Sector","Matching Wookieepedia page has no usable sector field.","Yn","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-14"
"Yulant","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Yulant","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Zakuul","D13","Zakuul Sector","Matching Wookieepedia page has no usable sector field.","Zakuul system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_D-13"
"Zamael","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Zamael system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Zardossa Stix","J13","Bardotta Sector","Matching Wookieepedia page has no usable sector field.","Zardossa Stix","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-13"
"Zeltros","O10","Ambria Sector","Matching Wookieepedia page has no usable sector field.","Zeltros","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-10"
"Zenox Cluster","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Zenox Cluster","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Zeta","K2","Mortis Sector","No matching page title in the Wookieepedia grid category.","Zeta","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-2"
"Zigoola","U6","Buchich Sector","Matching Wookieepedia page has no usable sector field.","Zigoola","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-6"
"Zisia","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Zisia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Ziugen","T12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Ziugen","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-12"
"Zonama Sekot","F13","Zonama Sekot Sector","Matching Wookieepedia page has no usable sector field.","Zonama Sekot","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_F-13"
"Zonju","J21","Imynusoph Sector","Matching Wookieepedia page has no usable sector field.","Zonju system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-21"
"Zyluria","L18","Juvex","No matching page title in the Wookieepedia grid category.","Zyluria","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-18"
